x_original,nm,cm^-1,intensity
950.00,965.41,2375.53,17378.00
949.95,965.36,2374.96,17017.00
949.90,965.30,2374.39,19809.00
949.84,965.25,2373.82,18731.00
949.79,965.20,2373.25,16028.00
949.74,965.14,2372.68,19061.00
949.69,965.09,2372.12,13559.00
949.64,965.04,2371.55,25330.00
949.58,964.98,2370.98,23565.00
949.53,964.93,2370.41,16511.00
949.48,964.88,2369.84,18601.00
949.43,964.82,2369.27,17990.00
949.37,964.77,2368.70,18688.00
949.32,964.72,2368.13,16902.00
949.27,964.66,2367.56,15860.00
949.22,964.61,2366.99,15139.00
949.17,964.56,2366.42,18965.00
949.11,964.51,2365.85,17347.00
949.06,964.45,2365.28,17628.00
949.01,964.40,2364.71,15066.00
948.96,964.35,2364.14,18866.00
948.91,964.29,2363.57,20841.00
948.85,964.24,2362.99,19384.00
948.80,964.19,2362.42,16373.00
948.75,964.13,2361.85,17286.00
948.70,964.08,2361.28,17924.00
948.65,964.03,2360.71,21182.00
948.59,963.97,2360.14,14986.00
948.54,963.92,2359.57,18281.00
948.49,963.87,2359.00,22439.00
948.44,963.81,2358.43,20592.00
948.38,963.76,2357.86,20958.00
948.33,963.71,2357.29,17803.00
948.28,963.65,2356.72,17125.00
948.23,963.60,2356.14,21979.00
948.18,963.55,2355.57,19956.00
948.12,963.50,2355.00,17003.00
948.07,963.44,2354.43,23384.00
948.02,963.39,2353.86,17400.00
947.97,963.34,2353.29,17013.00
947.92,963.28,2352.71,17130.00
947.86,963.23,2352.14,18363.00
947.81,963.18,2351.57,18519.00
947.76,963.12,2351.00,18514.00
947.71,963.07,2350.43,18703.00
947.66,963.02,2349.86,20541.00
947.60,962.96,2349.28,18909.00
947.55,962.91,2348.71,21599.00
947.50,962.86,2348.14,20716.00
947.45,962.80,2347.57,20811.00
947.40,962.75,2347.00,21854.00
947.34,962.70,2346.42,18262.00
947.29,962.64,2345.85,15986.00
947.24,962.59,2345.28,18703.00
947.19,962.54,2344.71,20133.00
947.13,962.48,2344.13,19855.00
947.08,962.43,2343.56,22577.00
947.03,962.38,2342.99,17863.00
946.98,962.33,2342.41,19872.00
946.93,962.27,2341.84,20478.00
946.87,962.22,2341.27,19527.00
946.82,962.17,2340.70,18965.00
946.77,962.11,2340.12,17449.00
946.72,962.06,2339.55,18055.00
946.67,962.01,2338.98,21412.00
946.61,961.95,2338.40,22698.00
946.56,961.90,2337.83,18500.00
946.51,961.85,2337.26,19593.00
946.46,961.79,2336.68,22363.00
946.41,961.74,2336.11,19982.00
946.35,961.69,2335.54,22036.00
946.30,961.63,2334.96,17703.00
946.25,961.58,2334.39,21354.00
946.20,961.53,2333.82,17546.00
946.14,961.47,2333.24,20093.00
946.09,961.42,2332.67,25580.00
946.04,961.37,2332.09,23081.00
945.99,961.31,2331.52,22244.00
945.94,961.26,2330.95,19649.00
945.88,961.21,2330.37,20163.00
945.83,961.16,2329.80,19232.00
945.78,961.10,2329.22,22194.00
945.73,961.05,2328.65,21914.00
